Model Config,Architecture,Features,Class Imbalance Method,Test Weighted Precision,Test Weighted Recall,Test Weighted F1
A1,MLP,Autoencoder,Focal,0.9046527340227362,0.889118558984202,0.8936987303847833
A1,MLP,Autoencoder,None,0.910713511672289,0.9108223829912889,0.9107143473341798
A1,MLP,Autoencoder,SMOTEENN,0.8870653164844748,0.8535360992174812,0.861272746360982
A1,MLP,Autoencoder,unweighted,0.910713511672289,0.9108223829912889,0.9107143473341798
A1,MLP,Autoencoder,WeightedCE,0.9060212321894336,0.8984201978443821,0.9010113753392359
A1,MLP,Autoencoder,weighted,0.9070048156812057,0.897977262660564,0.9008027765302627
A2,FT-Transformer,Autoencoder,Focal,0.5830185924342035,0.620995127712978,0.5955303990604645
A2,FT-Transformer,Autoencoder,None,0.5922776859883778,0.6344308282887937,0.5860961530415758
A2,FT-Transformer,Autoencoder,SMOTEENN,0.6246826985545038,0.44145873320537427,0.42540488125780435
A2,FT-Transformer,Autoencoder,WeightedCE,0.6034049126892619,0.5837885722722574,0.5834180783536664
A3,ConvTran,Autoencoder,Focal,0.8328880392138506,0.7921157537280378,0.8061161764586109
A3,ConvTran,Autoencoder,None,0.8394788031021762,0.8612136424036616,0.8490233007988292
A3,ConvTran,Autoencoder,SMOTEENN,0.8530864284116354,0.750627491510409,0.7681769525237059
A3,ConvTran,Autoencoder,WeightedCE,0.8310864212529449,0.764949062453861,0.7847912774408299
B1,MLP,Pool,Focal,0.7681273336400477,0.7478222353462277,0.7447363939698626
B1,MLP,Pool,None,0.7882093894256712,0.7010187509227817,0.6866208312157378
B1,MLP,Pool,SMOTEENN,0.7144653456107956,0.6934888527978739,0.6953339508366917
B1,MLP,Pool,WeightedCE,0.8559986565031846,0.8240070869629411,0.8303284761995656
B2,FT-Transformer,Pool,Focal,0.12819212143020434,0.35803927358629856,0.18879000618542593
B2,FT-Transformer,Pool,None,0.3887103621799657,0.47999409419754907,0.42734353342642306
B2,FT-Transformer,Pool,WeightedCE,0.1943647282946119,0.4408681529602835,0.2697883604343491
B3,ConvTran,Pool,None,0.5718795129500109,0.6152369703233427,0.5843301707230038
B3,ConvTran,Pool,WeightedCE,0.6346280595532385,0.5678429056548059,0.5885442484754021
