Path,Architecture,Sampling,Features,AF P,AF R,AF F1,SVT P,SVT R,SVT F1,Sinus Brady P,Sinus Brady R,Sinus Brady F1,Sinus Rhythm P,Sinus Rhythm R,Sinus Rhythm F1,Overall P,Overall R,Overall F1
A1,MLP,,Autoencoder,0.9126180836707152,0.90589417280643,0.9092436974789916,0.5595238095238095,0.5802469135802469,0.5696969696969697,0.9529793271179572,0.9694845360824742,0.9611610793131644,0.8679727427597955,0.8491666666666666,0.8584667228306655,0.910713511672289,0.9108223829912888,0.9107143473341798
A1,MLP,WeightedCE,Autoencoder,0.9267071862710048,0.8680509042196919,0.8964205429707764,0.4230769230769231,0.6790123456790124,0.5213270142180095,0.9475806451612904,0.9690721649484536,0.9582059123343528,0.8357605177993528,0.8608333333333333,0.8481116584564861,0.9060212321894336,0.8984201978443821,0.901011375339236
A1,MLP,Focal,Autoencoder,0.9370761115297664,0.832886805090422,0.8819148936170212,0.3742138364779874,0.7345679012345679,0.4958333333333333,0.951802349129202,0.9690721649484536,0.9603596240294238,0.8003003003003003,0.8883333333333333,0.8420221169036335,0.9046527340227362,0.889118558984202,0.8936987303847833
A1,MLP,SMOTEENN,Autoencoder,0.9374482187241092,0.7578700602813128,0.8381481481481482,0.3209549071618037,0.7469135802469136,0.4489795918367347,0.9573756790639364,0.9447422680412372,0.95101701951017,0.6960352422907489,0.9216666666666666,0.793115812119039,0.8870653164844748,0.8535360992174812,0.861272746360982
A2,FT-Transformer,,Autoencoder,0.6891126494650723,0.7334226389819156,0.7105775470473719,0.0,0.0,0.0,0.5975609756097561,0.8284536082474226,0.6943148436149992,0.4206008583690987,0.0816666666666666,0.1367759944173063,0.5922776859883778,0.6344308282887937,0.5860961530415758
A2,FT-Transformer,WeightedCE,Autoencoder,0.7265765765765766,0.5401875418620228,0.6196696119861698,0.1698113207547169,0.0555555555555555,0.0837209302325581,0.6303908355795148,0.7715463917525773,0.6938624142406824,0.3009138381201044,0.3841666666666666,0.3374816983894583,0.6034049126892619,0.5837885722722574,0.5834180783536664
A2,FT-Transformer,Focal,Autoencoder,0.6511497476163769,0.7776289350301406,0.7087912087912088,0.0,0.0,0.0,0.6479652311339391,0.6762886597938145,0.6618240516545602,0.3609467455621302,0.2033333333333333,0.2601279317697228,0.5830185924342035,0.620995127712978,0.5955303990604645
A2,FT-Transformer,SMOTEENN,Autoencoder,0.8276422764227642,0.1704621567314132,0.2826992502082754,0.0672268907563025,0.5432098765432098,0.1196464989802855,0.5696055684454756,0.8098969072164949,0.6688234292525115,0.3062098501070663,0.3575,0.3298731257208765,0.6246826985545038,0.4414587332053742,0.4254048812578043
A3,ConvTran,,Autoencoder,0.832039739211425,0.8975217682518419,0.8635411632028355,0.0,0.0,0.0,0.9247311827956988,0.9575257731958764,0.940842787682334,0.7990384615384616,0.6925,0.7419642857142857,0.8394788031021762,0.8612136424036616,0.8490233007988292
A3,ConvTran,WeightedCE,Autoencoder,0.8818140174072377,0.644675150703282,0.7448249177790676,0.1668946648426812,0.7530864197530864,0.2732362821948488,0.9043969342476804,0.9245360824742268,0.9143556280587276,0.6463768115942029,0.7433333333333333,0.6914728682170542,0.8310864212529449,0.764949062453861,0.7847912774408299
A3,ConvTran,Focal,Autoencoder,0.8632686084142395,0.7146684527796383,0.7819714181018688,0.1915641476274165,0.6728395061728395,0.2982216142270862,0.9110933119743692,0.9381443298969072,0.9244209670865502,0.68582995951417,0.7058333333333333,0.6956878850102669,0.8328880392138506,0.7921157537280378,0.8061161764586109
A3,ConvTran,SMOTEENN,Autoencoder,0.9448315911730546,0.544876088412592,0.6911639762107051,0.1634738186462324,0.7901234567901234,0.2708994708994709,0.9153567110036276,0.9364948453608248,0.9258051365674684,0.5920537213206492,0.8816666666666667,0.7084030800133914,0.8530864284116354,0.750627491510409,0.7681769525237059
B1,MLP,,Pooling,0.9667149059334298,0.4474212993971869,0.6117216117216118,0.2870662460567823,0.5617283950617284,0.3799582463465553,0.6295235615725071,0.9971134020618556,0.7717842323651453,0.732360097323601,0.7525,0.7422934648581998,0.7882093894256712,0.7010187509227817,0.6866208312157378
B1,MLP,WeightedCE,Pooling,0.917970401691332,0.7270596115204286,0.8114371145580266,0.2941176470588235,0.4629629629629629,0.3597122302158273,0.9352577319587628,0.9352577319587628,0.9352577319587628,0.6174768518518519,0.8891666666666667,0.7288251366120219,0.8559986565031846,0.8240070869629411,0.8303284761995656
B1,MLP,Focal,Pooling,0.8595555555555555,0.6476892163429336,0.7387318563789153,0.0,0.0,0.0,0.8441256300891818,0.8977319587628866,0.8701039168665068,0.4907407407407407,0.795,0.6068702290076335,0.7681273336400477,0.7478222353462277,0.7447363939698626
B1,MLP,SMOTEENN,Pooling,0.7546816479400749,0.8097789685197588,0.7812600969305331,0.275,0.2037037037037037,0.2340425531914893,0.8125695216907676,0.6024742268041237,0.6919251716789012,0.4754694124772864,0.6541666666666667,0.5506839705366539,0.7144653456107956,0.6934888527978739,0.6953339508366917
B2,FT-Transformer,,Pooling,0.5269645608628659,0.5726724715338245,0.548868560423688,0.0,0.0,0.0,0.4367913832199546,0.6354639175257732,0.5177221568956828,0.0,0.0,0.0,0.3887103621799657,0.479994094197549,0.427343533426423
B2,FT-Transformer,WeightedCE,Pooling,0.4408681529602835,1.0,0.6119479454862179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1943647282946119,0.4408681529602835,0.2697883604343491
B2,FT-Transformer,Focal,Pooling,0.0,0.0,0.0,0.0,0.0,0.0,0.3580392735862985,1.0,0.5272885409871712,0.0,0.0,0.0,0.1281921214302043,0.3580392735862985,0.1887900061854259
B3,ConvTran,,Pooling,0.6286764705882353,0.8017414601473544,0.7047394760082426,0.0,0.0,0.0,0.6714527027027027,0.6556701030927835,0.663467556853745,0.3065326633165829,0.1525,0.2036727879799666,0.5718795129500109,0.6152369703233427,0.5843301707230038
B3,ConvTran,WeightedCE,Pooling,0.7271710771524413,0.6533824514400536,0.6883048156641383,0.159313725490196,0.4012345679012346,0.2280701754385964,0.714618520675597,0.505979381443299,0.5924674070497344,0.3068702290076336,0.5025,0.381042654028436,0.6346280595532385,0.5678429056548059,0.5885442484754021
Raw,ConvTran,Trim 5 sec,Raw,0.8974272173324306,0.8878097789685198,0.8925925925925926,0.5,0.0185185185185185,0.0357142857142857,0.9076149980672594,0.9682474226804124,0.936951316839585,0.8189233278955954,0.8366666666666667,0.8276999175597691,0.7809913858238214,0.6778105967085293,0.6732395281765581
Raw,ConvTran,Trim 2 sec,Raw,0.8704986149584487,0.8419290020093771,0.8559754851889684,0.0,0.0,0.0,0.8127886323268206,0.9435051546391752,0.8732824427480916,0.72803738317757,0.6491666666666667,0.6863436123348018,0.6028311576157098,0.6086502058288048,0.6039003850679655
