Rank,Feature Group,Reduction Path,Input,Segment Length,Architecture,Imbalance / Sampling,Weighted Precision,Weighted Recall,Weighted F1,Macro Precision,Macro Recall,Macro F1,AF Precision,AF Recall,AF F1,SVT Precision,SVT Recall,SVT F1,Sinus Brady Precision,Sinus Brady Recall,Sinus Brady F1,Sinus Rhythm Precision,Sinus Rhythm Recall,Sinus Rhythm F1
1,Autoencoder,Path A,MultiROCKET features,Full recording,MLP,None,0.910714,0.910822,0.910714,0.823273,0.826198,0.824642,0.912618,0.905894,0.909244,0.559524,0.580247,0.569697,0.952979,0.969485,0.961161,0.867973,0.849167,0.858467
2,Autoencoder,Path A,MultiROCKET features,Full recording,MLP,Weighted CE,0.906021,0.898420,0.901011,0.783281,0.844242,0.806016,0.926707,0.868051,0.896421,0.423077,0.679012,0.521327,0.947581,0.969072,0.958206,0.835761,0.860833,0.848112
3,Autoencoder,Path A,MultiROCKET features,Full recording,MLP,Focal,0.904653,0.889119,0.893699,0.765848,0.856215,0.795032,0.937076,0.832887,0.881915,0.374214,0.734568,0.495833,0.951802,0.969072,0.960360,0.800300,0.888333,0.842022
5,Autoencoder,Path A,MultiROCKET features,Full recording,MLP,SMOTEENN,0.887065,0.853536,0.861273,0.727954,0.842798,0.757815,0.937448,0.757870,0.838148,0.320955,0.746914,0.448980,0.957376,0.944742,0.951017,0.696035,0.921667,0.793116
17,Autoencoder,Path A,MultiROCKET features,Full recording,FT-Trans,None,0.592278,0.634431,0.586096,0.426819,0.410886,0.385417,0.689113,0.733423,0.710578,0.000000,0.000000,0.000000,0.597561,0.828454,0.694315,0.420601,0.081667,0.136776
19,Autoencoder,Path A,MultiROCKET features,Full recording,FT-Trans,Weighted CE,0.603405,0.583789,0.583418,0.456923,0.437864,0.433684,0.726577,0.540188,0.619670,0.169811,0.055556,0.083721,0.630391,0.771546,0.693862,0.300914,0.384167,0.337482
15,Autoencoder,Path A,MultiROCKET features,Full recording,FT-Trans,Focal,0.583019,0.620995,0.595530,0.415015,0.414313,0.407686,0.651150,0.777629,0.708791,0.000000,0.000000,0.000000,0.647965,0.676289,0.661824,0.360947,0.203333,0.260128
21,Autoencoder,Path A,MultiROCKET features,Full recording,FT-Trans,SMOTEENN,0.624683,0.441459,0.425405,0.442671,0.470267,0.350261,0.827642,0.170462,0.282699,0.067227,0.543210,0.119646,0.569606,0.809897,0.668823,0.306210,0.357500,0.329873
6,Autoencoder,Path A,MultiROCKET features,Full recording,ConvTran,None,0.839479,0.861214,0.849023,0.638952,0.636887,0.636587,0.832040,0.897522,0.863541,0.000000,0.000000,0.000000,0.924731,0.957526,0.940843,0.799038,0.692500,0.741964
10,Autoencoder,Path A,MultiROCKET features,Full recording,ConvTran,Weighted CE,0.831086,0.764949,0.784791,0.649871,0.766408,0.655972,0.881814,0.644675,0.744825,0.166895,0.753086,0.273236,0.904397,0.924536,0.914356,0.646377,0.743333,0.691473
9,Autoencoder,Path A,MultiROCKET features,Full recording,ConvTran,Focal,0.832888,0.792116,0.806116,0.662939,0.757871,0.675075,0.863269,0.714668,0.781971,0.191564,0.672840,0.298222,0.911093,0.938144,0.924421,0.685830,0.705833,0.695688
11,Autoencoder,Path A,MultiROCKET features,Full recording,ConvTran,SMOTEENN,0.853086,0.750627,0.768177,0.653929,0.788290,0.649068,0.944832,0.544876,0.691164,0.163474,0.790123,0.270899,0.915357,0.936495,0.925805,0.592054,0.881667,0.708403
14,Structured Pooling,Path B,MultiROCKET features,Full recording,MLP,None,0.788209,0.701019,0.686621,0.653916,0.689691,0.626439,0.966715,0.447421,0.611722,0.287066,0.561728,0.379958,0.629524,0.997113,0.771784,0.732360,0.752500,0.742293
7,Structured Pooling,Path B,MultiROCKET features,Full recording,MLP,Weighted CE,0.855999,0.824007,0.830328,0.691206,0.753612,0.708808,0.917970,0.727060,0.811437,0.294118,0.462963,0.359712,0.935258,0.935258,0.935258,0.617477,0.889167,0.728825
12,Structured Pooling,Path B,MultiROCKET features,Full recording,MLP,Focal,0.768127,0.747822,0.744736,0.548605,0.585105,0.553927,0.859556,0.647689,0.738732,0.000000,0.000000,0.000000,0.844126,0.897732,0.870104,0.490741,0.795000,0.606870
13,Structured Pooling,Path B,MultiROCKET features,Full recording,MLP,SMOTEENN,0.714465,0.693489,0.695334,0.579430,0.567531,0.564478,0.754682,0.809779,0.781260,0.275000,0.203704,0.234043,0.812570,0.602474,0.691925,0.475469,0.654167,0.550684
20,Structured Pooling,Path B,MultiROCKET features,Full recording,FT-Trans,None,0.388710,0.479994,0.427344,0.240939,0.302034,0.266648,0.526965,0.572672,0.548869,0.000000,0.000000,0.000000,0.436791,0.635464,0.517722,0.000000,0.000000,0.000000
22,Structured Pooling,Path B,MultiROCKET features,Full recording,FT-Trans,Weighted CE,0.194365,0.440868,0.269788,0.110217,0.250000,0.152987,0.440868,1.000000,0.611948,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
23,Structured Pooling,Path B,MultiROCKET features,Full recording,FT-Trans,Focal,0.128192,0.358039,0.188790,0.089510,0.250000,0.131822,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.358039,1.000000,0.527289,0.000000,0.000000,0.000000
18,Structured Pooling,Path B,MultiROCKET features,Full recording,ConvTran,None,0.571880,0.615237,0.584330,0.401665,0.402478,0.392970,0.628676,0.801741,0.704739,0.000000,0.000000,0.000000,0.671453,0.655670,0.663468,0.306533,0.152500,0.203673
16,Structured Pooling,Path B,MultiROCKET features,Full recording,ConvTran,Weighted CE,0.634628,0.567843,0.588544,0.476993,0.515774,0.472471,0.727171,0.653382,0.688305,0.159314,0.401235,0.228070,0.714619,0.505979,0.592467,0.306870,0.502500,0.381043
8,Raw ECG,Raw,Raw ECG segment,1 s,ConvTran,Raw 1 s,0.803775,0.824007,0.811644,0.602831,0.608650,0.603900,0.870499,0.841929,0.855975,0.000000,0.000000,0.000000,0.812789,0.943505,0.873282,0.728037,0.649167,0.686344
4,Raw ECG,Raw,Raw ECG segment,2.5 s,ConvTran,Raw 2.5 s,0.877660,0.886756,0.876482,0.780991,0.677811,0.673240,0.897427,0.887810,0.892593,0.500000,0.018519,0.035714,0.907615,0.968247,0.936951,0.818923,0.836667,0.827700
